DATE,PCE
1/1/59,306.1
1/2/59,309.6
1/3/59,312.7
1/4/59,312.2
1/5/59,316.1
1/6/59,318.2
1/7/59,317.8
1/8/59,320.2
1/9/59,324.2
1/10/59,
1/11/59,322.9
1/12/59,322.9
1/1/60,323.6
1/2/60,325.3
1/3/60,330.2
1/4/60,336.5
1/5/60,330
1/6/60,330.1
1/7/60,331.4
1/8/60,
1/9/60,333.4
1/10/60,335.4
1/11/60,335.4
1/12/60,331.3
1/1/61,
1/2/61,333.7
1/3/61,337.7
1/4/61,337.6
1/5/61,339.9
1/6/61,340.9
1/7/61,340.6
1/8/61,
1/9/61,344.4
1/10/61,346.5
1/11/61,349.9
1/12/61,352.4
1/1/62,353.2
1/2/62,354
1/3/62,357.4
1/4/62,359
1/5/62,362
1/6/62,360.4
1/7/62,361.4
1/8/62,362.9
1/9/62,368.8
1/10/62,366.5
1/11/62,371.7
1/12/62,
1/1/63,374.4
1/2/63,373.4
1/3/63,375
1/4/63,376.4
1/5/63,377.2
1/6/63,381.7
1/7/63,384.4
1/8/63,
1/9/63,385.5
1/10/63,386
1/11/63,389.4
1/12/63,394.7
1/1/64,396.8
1/2/64,400.2
1/3/64,401.8
1/4/64,402.8
1/5/64,408.4
1/6/64,411.4
1/7/64,414.9
1/8/64,417.7
1/9/64,416.6
1/10/64,419.6
1/11/64,416.4
1/12/64,421
1/1/65,424.4
1/2/65,431.4
1/3/65,
1/4/65,
1/5/65,437.6
1/6/65,435.2
1/7/65,441
1/8/65,444.4
1/9/65,452
1/10/65,458.5
1/11/65,459.1
1/12/65,461.7
1/1/66,465.2
1/2/66,470.2
1/3/66,475
1/4/66,476.9
1/5/66,473.1
1/6/66,475.5
1/7/66,480.6
1/8/66,483.2
1/9/66,489.2
1/10/66,488.3
1/11/66,490.1
1/12/66,491.8
1/1/67,494.2
1/2/67,493
1/3/67,495.8
1/4/67,501.3
1/5/67,
1/6/67,506.8
1/7/67,506.7
1/8/67,509.8
1/9/67,515.6
1/10/67,512.2
1/11/67,517.4
1/12/67,525.1
1/1/68,530.9
1/2/68,533.6
1/3/68,544.3
1/4/68,544
1/5/68,549.8
1/6/68,556.3
1/7/68,563.2
1/8/68,
1/9/68,568.2
1/10/68,571.6
1/11/68,576.7
1/12/68,576.5
1/1/69,583.5
1/2/69,588.7
1/3/69,588.9
1/4/69,593.9
1/5/69,
1/6/69,600.9
1/7/69,602.7
